,Unnamed: 0_x,ID_x,Date,Active_cases,Active_cases_new,Confirmed_cases,Confirmed_cases_new,Death_cases,Death_cases_new,Hospitalized_cases,Hospitalized_cases_new,Unnamed: 0_y,ID_y,DoseType,DoseValue,Vax_Partial,Vax_Full,Unnamed: 0,SLP,PS,H,T,U,V,QV,O3
0,11923761,IT,2020-01-03,3.0,3.0,3.0,3.0,7.0,7.0,127.0,127.0,0.0,0,0,0.0,0.0,0.0,2.0,102774.07735636031,99474.2801836589,18477.23218191224,242.7697009583877,11.33388549233212,1.812106169859538,0.0007882717312311,3.039825449575497e-06
1,11923767,IT,2020-01-04,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,102445.60462828352,99124.1894660086,18462.35160653996,242.08233761970288,11.236906756853784,-1.333514120711085,0.0009839747244508,3.103043477371971e-06
2,11923773,IT,2020-01-05,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,4.0,102475.52638486438,99122.00668311336,18441.60398908796,241.43035343841527,4.771977362110343,-9.465004561678043,0.0008374375680729,3.097137694107992e-06
3,11923779,IT,2020-01-06,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,5.0,102722.89275054484,99389.30991008146,18456.64763474539,241.00629052214163,0.083645833171027,-7.702434523695739,0.0006392061019308,3.142848856571917e-06
4,11923785,IT,2020-01-07,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,6.0,102567.54480646772,99243.80651809632,18444.56775243123,240.70306073478025,2.833335063512298,-4.644230692379152,0.0007892226191838,3.1805599327969737e-06
5,11923791,IT,2020-01-08,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,7.0,102700.14054605507,99377.09103070376,18422.185716766915,240.57549815893995,3.419397320013497,-2.4835999748510407,0.0009004548858255,3.127768658148794e-06
6,11923797,IT,2020-01-09,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,8.0,102666.03063541483,99377.86800439013,18413.211320000737,241.18344062813296,7.369019298670487,1.6911774590648163,0.0008609642229846,3.118886222837948e-06
7,11923803,IT,2020-01-10,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,9.0,102425.6575027434,99106.67198794664,18342.006486604834,240.110984601611,12.960439959910158,6.6121602291851325,0.0008875122671353,3.0901933649153e-06
8,11923809,IT,2020-01-11,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,10.0,102540.4649928698,99190.58933989622,18294.03336055982,239.38720313661943,13.498812220391342,1.9730039010842284,0.0009894638244446,3.04916374313418e-06
9,11923815,IT,2020-01-12,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,11.0,102520.6901743546,99207.13652960883,18245.205553586908,238.76961640742303,13.437223612504242,-0.8558410857495505,0.0009315920091994,3.0489015382611246e-06
10,11923821,IT,2020-01-13,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,12.0,102446.69142982144,99135.3401238985,18227.587090497243,238.2999406451029,16.662115246731965,0.0309038813481314,0.0009414388736577,3.0353006635087123e-06
11,11923827,IT,2020-01-14,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,13.0,102462.9666239003,99149.88700439742,18257.877609319523,238.72115349924408,16.379216969673053,-1.758666029875232,0.0009506082593135,3.01556240841869e-06
12,11923833,IT,2020-01-15,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,14.0,102667.61529331432,99378.85825054187,18328.438272234875,239.5350433721005,12.136578348437252,-1.6340238857922642,0.00090085655997,2.961376321265216e-06
13,11923839,IT,2020-01-16,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,15.0,102836.1366337733,99531.83093421282,18347.236876071947,239.76397945736613,10.469926765755684,-0.6420934149316545,0.0008425505007473,3.023494639663275e-06
14,11923845,IT,2020-01-17,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,16.0,102604.60243092268,99298.48020998412,18303.035674199164,238.89133308531777,12.21756914893338,0.5114843483815658,0.0008571430776699,3.0864962434003485e-06
15,11923851,IT,2020-01-18,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,17.0,102420.2967165528,99050.73153838288,18258.869501542504,237.62493625861748,14.609181097795783,-0.6017839494612823,0.0009613291881717,3.1204671035161605e-06
16,11923857,IT,2020-01-19,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,18.0,102415.27703618589,98992.45229495152,18249.12558134476,237.3185838665648,13.231138920916557,-0.3779874708644128,0.0009483055975726,3.1306532619446045e-06
17,11923863,IT,2020-01-20,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,19.0,103194.20033387768,99755.9929764254,18267.22005408205,237.9684920734135,9.837698346686151,3.125570993310429,0.0010389053285356,3.1160307367394653e-06
18,11923869,IT,2020-01-21,3.0,0.0,3.0,0.0,7.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,20.0,103513.41844846428,100149.63722532488,18265.660981293004,238.7663064020701,10.84852059359794,2.692268368400331,0.0009663327137506,3.080426018358856e-06
19,11923875,IT,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,21.0,103091.31795943188,99777.73166886011,18234.171111467647,239.22659552004927,17.99875614730755,-1.8953204284239416,0.0008968257299422,3.078118510694583e-06
20,11923885,IT,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,22.0,102747.62744133791,99450.59792379798,18200.248825885963,239.2649239069017,20.81043140545564,-0.8462198748824782,0.0008902939256761,3.0945956445117547e-06
21,11923895,IT,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,23.0,102526.23710745404,99215.92959922728,18195.336353193376,239.05361612847503,30.31228024734293,3.804327039705529,0.0010217853950864,2.971479861609925e-06
22,11923905,IT,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,24.0,102326.24868585734,98988.75444956344,18157.605400805067,238.77730772387068,37.17993827755556,7.949836284448596,0.0011712005921057,2.803429593827193e-06
23,11923915,IT,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,25.0,102057.80511513418,98705.45977247226,18089.61547049136,237.91973947903128,38.46234230694512,7.62151236537643,0.0012460593622277,2.781301550218816e-06
24,11923925,IT,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,26.0,102023.00949288235,98678.0321951745,18072.81597435988,237.34143644919425,36.13387209883423,0.4317187338449665,0.0011707272527894,2.8881324312651666e-06
25,11923935,IT,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,27.0,101595.66300329096,98274.7344281751,18084.6628402841,237.1854094957492,39.52892328199251,2.1154130800712245,0.0011876414528864,3.0027647014010405e-06
26,11923945,IT,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,28.0,101521.47347642871,98176.89789419096,18123.931341840467,237.54589654918507,37.83823759779391,-1.5687413269081072,0.0010457888041392,3.0348711247517983e-06
27,11923955,IT,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,29.0,101996.68761019284,98674.19686457967,18188.06144049965,238.4917476255725,33.690763123791555,-2.276314169231064,0.0009974825990819,2.938616939595171e-06
28,11923965,IT,2020-01-31,2.0,2.0,2.0,2.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,30.0,101981.91842049724,98710.61816173432,18235.948060387887,239.4882725083524,29.5104477492126,0.7681314281536189,0.0014081460760484,2.902938053998801e-06
29,11923976,IT,2020-02-01,2.0,0.0,2.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,101959.94814857456,98682.45548245616,18238.55261853364,239.3015340172045,27.00906388128935,1.82316954206252,0.0014941810260866,2.905810779566142e-06
30,11923987,IT,2020-02-02,2.0,0.0,2.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,102061.6865263158,98790.34175657894,18242.19396290137,239.96697304145783,24.982735319783643,-5.275812226051637,0.0014476747690401,2.971730444757519e-06
31,11923998,IT,2020-02-03,2.0,0.0,2.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,101938.45582236844,98692.293502193,18247.941965707512,240.805908006344,25.72809462048977,-6.697115389529114,0.0014851401759647,2.997655279583216e-06
32,11924009,IT,2020-02-04,2.0,0.0,2.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,101275.34256798246,97973.59284813596,18180.56995976893,239.03818474689325,30.0945586585957,-2.964468416584177,0.0010459327110807,3.075064039260677e-06
33,11924020,IT,2020-02-05,2.0,0.0,2.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,4.0,101526.30607182016,98116.4272571272,18114.565893383933,236.354945161863,23.656981586006008,-11.259042025192109,0.0006242356256939,3.170768442792189e-06
34,11924031,IT,2020-02-06,2.0,0.0,2.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,5.0,102388.58975438598,99009.70238322367,18219.212206578097,237.628599864244,20.39353243307168,-13.988347846635437,0.0005295844500123,3.1366678040599285e-06
35,11924042,IT,2020-02-07,3.0,1.0,3.0,1.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,6.0,102598.57273410088,99273.6052308114,18277.19560433884,238.8351712873329,22.835812766529664,-8.575842792386306,0.0005845410195215,3.1299222366124426e-06
36,11924053,IT,2020-02-08,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,7.0,102709.8028366228,99384.80315953949,18259.274872894995,239.34740463659145,24.143498380876416,-0.4848804118655722,0.0007212990748892,3.062396917378341e-06
37,11924064,IT,2020-02-09,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,8.0,102952.54570120614,99622.36395888156,18242.2907126999,239.7625750007832,29.3647933358832,7.786594517995995,0.0009424118108352,3.035307835825684e-06
38,11924075,IT,2020-02-10,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,9.0,102357.15543146928,99071.62841282894,18198.470646894213,240.07922270415625,33.51245974645513,0.9313296459656352,0.0012285951817194,2.886851090350825e-06
39,11924086,IT,2020-02-11,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,10.0,101612.98294298246,98325.81333388158,18229.462163568307,240.24492674981727,36.82987204330462,-0.5994508084029643,0.0011565428176018,2.837624288164043e-06
40,11924097,IT,2020-02-12,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,11.0,101919.69768695175,98566.92891447368,18248.845201403128,239.94294310059,34.78444644139092,0.7668158295960908,0.0009905685943078,2.872561931990458e-06
41,11924108,IT,2020-02-13,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,12.0,102123.07269736842,98791.76936732457,18338.065338068,240.4372648034148,30.31055921100716,2.758642918181092,0.0010448177194798,2.91587432220973e-06
42,11924119,IT,2020-02-14,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,13.0,101876.3541732456,98553.35628563596,18385.296963591296,240.59145686272973,25.59181076584152,-2.57903947523909,0.0011219700556128,2.9838438113517778e-06
43,11924130,IT,2020-02-15,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,14.0,102501.96218914472,99195.98179769736,18440.60591840996,241.74639790622388,20.93790424568447,-1.52327580303016,0.000777662290312,2.9491055132922016e-06
44,11924141,IT,2020-02-16,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,15.0,102734.711216557,99473.88645614036,18473.33684213449,242.2856073162072,18.85855514694678,-1.556703397854435,0.0007818980495519,2.9700250924242635e-06
45,11924152,IT,2020-02-17,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,16.0,102550.92018256578,99305.97977192982,18483.989612573543,242.7177284183114,19.6907179420528,0.562019714275373,0.0009158002547032,2.9583053033617766e-06
46,11924163,IT,2020-02-18,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,17.0,102423.81809868422,99098.28564747809,18418.833974923768,241.39863956832187,23.8587915458245,-0.283259009593985,0.0010003220033907,2.9953467243525872e-06
47,11924174,IT,2020-02-19,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,18.0,102241.5534385965,98874.79645504386,18333.51306406837,239.54112136056284,24.873461893001465,-2.8320301040948794,0.0009727348728707,3.0332264286338243e-06
48,11924185,IT,2020-02-20,3.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,19.0,102267.2593196272,98915.53145504386,18312.98198394705,239.180065523444,19.356586198742352,-7.45543318470212,0.0008296540673924,3.0421906658932617e-06
49,11924196,IT,2020-02-21,19.0,16.0,20.0,17.0,1.0,1.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,20.0,102423.564185307,99097.08286019736,18365.63600361973,240.2314091644476,19.00860858071035,-4.816245904340095,0.0007497687060096,3.070250466997089e-06
50,11924207,IT,2020-02-22,59.0,40.0,62.0,42.0,2.0,1.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,21.0,102875.0039161184,99555.58017214912,18415.03479145559,240.8882898489714,15.097076257788055,-5.865473824136478,0.0008748577968641,3.113822201809393e-06
51,11924218,IT,2020-02-23,150.0,91.0,155.0,93.0,3.0,1.0,127.0,0.0,0.0,0,0,0.0,0.0,0.0,22.0,102799.21944078949,99541.37079002192,18421.40793685653,241.87263776655172,18.70573563155536,-6.477120319831566,0.0010118100744441,3.0896900559370563e-06
52,11924229,IT,2020-02-24,221.0,221.0,229.0,229.0,7.0,7.0,127.0,127.0,0.0,0,0,0.0,0.0,0.0,23.0,102167.1244627193,98932.25029879386,18334.563735691623,241.57791227848267,23.7638113821512,-5.097283081175096,0.0009874662110258,3.0860460678880794e-06
53,11924256,IT,2020-02-25,311.0,90.0,322.0,93.0,10.0,3.0,149.0,22.0,0.0,0,0,0.0,0.0,0.0,24.0,101423.99861239037,98173.11315570177,18229.202320964145,239.62817667214912,28.83920893995088,3.384730694887401,0.000882831659306,3.098265369239949e-06
54,11924283,IT,2020-02-26,385.0,74.0,400.0,78.0,12.0,2.0,164.0,15.0,0.0,0,0,0.0,0.0,0.0,25.0,100729.3671875,97398.48048464912,18130.42824283728,236.52336063100452,33.15012368806376,3.53708191659756,0.0009537007639309,3.130517212120588e-06
55,11924310,IT,2020-02-27,588.0,203.0,650.0,250.0,17.0,5.0,304.0,140.0,0.0,0,0,0.0,0.0,0.0,26.0,101270.51383717103,97903.18536348685,18143.267433564364,237.00503580317985,33.74996389924336,-1.7778365660941506,0.000812532356351,3.1076417755646014e-06
56,11924337,IT,2020-02-28,821.0,233.0,888.0,238.0,21.0,4.0,409.0,105.0,0.0,0,0,0.0,0.0,0.0,27.0,101534.42278125,98181.36509320176,18167.29973367244,238.12599696637423,32.13282797931784,-6.349363162093869,0.0008670943668918,2.978668038432683e-06
57,11924364,IT,2020-02-29,1049.0,228.0,1128.0,240.0,29.0,8.0,506.0,97.0,0.0,0,0,0.0,0.0,0.0,28.0,101740.70884210526,98441.79078399124,18206.12883722299,238.82121974336883,26.936395446172348,-0.5724901708531794,0.0009114673240347,3.011619817842105e-06
58,11924391,IT,2020-03-01,1577.0,528.0,1694.0,566.0,34.0,5.0,779.0,273.0,0.0,0,0,0.0,0.0,0.0,0.0,101107.42281907896,97828.8129758772,18232.269546911648,238.5033284703947,23.96537958252536,2.3821892077156006,0.0013066712997041,3.109155659207172e-06
59,11924418,IT,2020-03-02,1835.0,258.0,2036.0,342.0,52.0,18.0,908.0,129.0,0.0,0,0,0.0,0.0,0.0,1.0,100574.07510800438,97304.56690844298,18273.6462419626,237.81573275206244,19.57957717457272,3.0623031636726163,0.0012806638515275,3.0730074350521747e-06
60,11924445,IT,2020-03-03,2263.0,428.0,2502.0,466.0,79.0,27.0,1263.0,355.0,0.0,0,0,0.0,0.0,0.0,2.0,100428.12133826756,97117.23729879386,18311.21392296939,236.8692322767857,11.38953742663777,1.9742297923406964,0.0011530531923701,3.073264680401289e-06
61,11924472,IT,2020-03-04,2706.0,443.0,3089.0,587.0,107.0,28.0,1641.0,378.0,0.0,0,0,0.0,0.0,0.0,3.0,100981.75195504386,97628.12111074562,18352.79759458344,237.96177990066312,9.026243331344393,-5.575517830516277,0.0010563824055711,3.065509909932683e-06
62,11924499,IT,2020-03-05,3296.0,590.0,3858.0,769.0,148.0,41.0,2141.0,500.0,0.0,0,0,0.0,0.0,0.0,4.0,101091.29525109648,97794.70764473685,18355.376736880047,238.7073268961466,12.711580617443056,-6.256570957335224,0.0012048341186282,3.0341343273307617e-06
